state,number_of_regions
Central,4
Southern,2
Ulaanbaatar,2
San Juan,2
Huila,2
Vienna,2
Centre,2
Upper Austria,2
Styria,2
Santiago,2
La Libertad,2
Salzburg,2
Ouest,2
Ash Sharqiyah,2
National Capital,2
Carinthia,2
Tyrol,2
Novosibirsk,1
Novgorod,1
Nueva Esparta,1
Nova Scotia,1
Nuevo León,1
Northland,1
Northern Territory,1
Northern Mindanao,1
North-West,1
Nouakchott,1
Nusa Tenggara Barat,1
Nusa Tenggara Timur,1
Nyanza,1
Nzérékoré,1
O'Higgins,1
Oaxaca,1
Odisha,1
Ogun,1
Ohio,1
Oita,1
Okayama,1
Oklahoma,1
Northern,1
Newfoundland,1
New York,1
New South Wales,1
New Mexico,1
New Jersey,1
New Hampshire,1
Nevsehir,1
Nevada,1
North Holland,1
Nelson,1
Negeri Sembilan,1
Nebraska,1
Neamt,1
Nayarit,1
Navarra,1
Nariño,1
Nangarhar,1
Neuquén,1
North Rhine-Westphalia,1
North Lebanon,1
Olomouc,1
North Dakota,1
North Carolina,1
North Brabant,1
Norte de Santander,1
Nord-Pas-de-Calais,1
Niamey,1
Nord,1
Nitra,1
Ningxia,1
Ninawa,1
Niger,1
Nigde,1
Niassa,1
Niari,1
Nord-Ouest,1
Poltava,1
Poitou-Charentes,1
Podlaskie,1
Podgorica,1
Plzen,1
Plovdiv,1
Pleven,1
Oran,1
Plateau,1
Piura,1
Pinar del Río,1
Piedmont,1
Pichincha,1
Picardy,1
Piauí,1
Phnom Penh,1
Plateaux,1
Qazvin,1
Qashqadaryo,1
Qaraghandy,1
Pwani,1
Puno,1
Punjab,1
Puebla,1
Pomerania,1
Provincia de Buenos Aires,1
Provence-Alpes-Côte d'Azur,1
Primorsko-Goranska,1
Prahova,1
Prague,1
Potosí,1
Portuguesa,1
Porto,1
Puducherry,1
Ouémé,1
Otago,1
Osun,1
Osmaniye,1
Oslo,1
Osjecko-Baranjska,1
Osh,1
Pernik,1
Oruro,1
Orientale,1
Oregon,1
Ordu,1
Namur,1
Opole,1
Ontario,1
Ondo,1
Osaka,1
Pernambuco,1
Peravia,1
Perak,1
Pennsylvania,1
Pazardzhik,1
Paysandú,1
Pays de la Loire,1
Overijssel,1
Pará,1
Paraíba,1
Parana,1
Papua,1
Panevezys,1
Panama,1
Pahang,1
Oyo,1
Pavlodar,1
Managua,1
Manabi,1
Maluku,1
Malatya,1
Malanje,1
Makkah,1
Maine,1
Namangan,1
Magdalena,1
Magallanes y Antártica Chilena,1
Madrid,1
Madhya Pradesh,1
Lusaka,1
Luhans'k,1
Lucerne,1
Lubusz,1
Maharashtra,1
Maritime,1
Mardin,1
Marche,1
Maranhão,1
Maramures,1
Maradi,1
Mara,1
Manawatu-Wanganui,1
Manzini,1
Manitoba,1
Manisa,1
Manipur,1
Maniema,1
Manicaland,1
